cohort	condition_value	condition_label	metric	bin_left_log10	bin_right_log10	count	n_total
technical_replicate	2.0	replicate 2	footprint_size	3.4360147905006135	3.459948370342291	127	10657
technical_replicate	2.0	replicate 2	footprint_size	3.459948370342291	3.4838819501839673	98	10657
technical_replicate	2.0	replicate 2	footprint_size	3.4838819501839673	3.5078155300256446	91	10657
technical_replicate	2.0	replicate 2	footprint_size	3.5078155300256446	3.531749109867321	97	10657
technical_replicate	2.0	replicate 2	footprint_size	3.531749109867321	3.5556826897089984	91	10657
technical_replicate	2.0	replicate 2	footprint_size	3.5556826897089984	3.579616269550675	85	10657
technical_replicate	2.0	replicate 2	footprint_size	3.579616269550675	3.603549849392352	102	10657
technical_replicate	2.0	replicate 2	footprint_size	3.603549849392352	3.6274834292340286	92	10657
technical_replicate	2.0	replicate 2	footprint_size	3.6274834292340286	3.651417009075706	92	10657
technical_replicate	2.0	replicate 2	footprint_size	3.651417009075706	3.6753505889173823	74	10657
technical_replicate	2.0	replicate 2	footprint_size	3.6753505889173823	3.6992841687590596	86	10657
technical_replicate	2.0	replicate 2	footprint_size	3.6992841687590596	3.7232177486007365	128	10657
technical_replicate	2.0	replicate 2	footprint_size	3.7232177486007365	3.7471513284424134	157	10657
technical_replicate	2.0	replicate 2	footprint_size	3.7471513284424134	3.7710849082840903	140	10657
technical_replicate	2.0	replicate 2	footprint_size	3.7710849082840903	3.795018488125767	139	10657
technical_replicate	2.0	replicate 2	footprint_size	3.795018488125767	3.818952067967444	145	10657
technical_replicate	2.0	replicate 2	footprint_size	3.818952067967444	3.842885647809121	124	10657
technical_replicate	2.0	replicate 2	footprint_size	3.842885647809121	3.8668192276507978	131	10657
technical_replicate	2.0	replicate 2	footprint_size	3.8668192276507978	3.8907528074924747	132	10657
technical_replicate	2.0	replicate 2	footprint_size	3.8907528074924747	3.9146863873341515	125	10657
technical_replicate	2.0	replicate 2	footprint_size	3.9146863873341515	3.9386199671758284	116	10657
technical_replicate	2.0	replicate 2	footprint_size	3.9386199671758284	3.9625535470175053	121	10657
technical_replicate	2.0	replicate 2	footprint_size	3.9625535470175053	3.986487126859182	101	10657
technical_replicate	2.0	replicate 2	footprint_size	3.986487126859182	4.0104207067008595	98	10657
technical_replicate	2.0	replicate 2	footprint_size	4.0104207067008595	4.034354286542536	84	10657
technical_replicate	2.0	replicate 2	footprint_size	4.034354286542536	4.058287866384212	78	10657
technical_replicate	2.0	replicate 2	footprint_size	4.058287866384212	4.08222144622589	84	10657
technical_replicate	2.0	replicate 2	footprint_size	4.08222144622589	4.106155026067567	69	10657
technical_replicate	2.0	replicate 2	footprint_size	4.106155026067567	4.130088605909243	64	10657
technical_replicate	2.0	replicate 2	footprint_size	4.130088605909243	4.154022185750921	44	10657
technical_replicate	2.0	replicate 2	footprint_size	4.154022185750921	4.177955765592598	39	10657
technical_replicate	2.0	replicate 2	footprint_size	4.177955765592598	4.2018893454342745	24	10657
technical_replicate	2.0	replicate 2	footprint_size	4.2018893454342745	4.225822925275951	25	10657
technical_replicate	2.0	replicate 2	footprint_size	4.225822925275951	4.249756505117628	28	10657
technical_replicate	2.0	replicate 2	footprint_size	4.249756505117628	4.273690084959306	15	10657
technical_replicate	2.0	replicate 2	footprint_size	4.273690084959306	4.297623664800982	16	10657
technical_replicate	2.0	replicate 2	footprint_size	4.297623664800982	4.3215572446426584	14	10657
technical_replicate	2.0	replicate 2	footprint_size	4.3215572446426584	4.345490824484336	7	10657
technical_replicate	2.0	replicate 2	footprint_size	4.345490824484336	4.369424404326013	4	10657
technical_replicate	2.0	replicate 2	footprint_size	4.369424404326013	4.3933579841676895	6	10657
technical_replicate	1.0	replicate 1	accessible_patch_size	2.0	2.0180002509198736	64	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.0180002509198736	2.0360005018397476	47	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.0360005018397476	2.054000752759621	65	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.054000752759621	2.0720010036794947	57	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.0720010036794947	2.0900012545993687	53	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.0900012545993687	2.1080015055192423	44	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.1080015055192423	2.1260017564391163	39	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.1260017564391163	2.14400200735899	45	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.14400200735899	2.1620022582788634	40	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.1620022582788634	2.1800025091987374	45	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.1800025091987374	2.198002760118611	37	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.198002760118611	2.2160030110384845	48	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.2160030110384845	2.2340032619583585	36	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.2340032619583585	2.252003512878232	37	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.252003512878232	2.2700037637981056	46	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.2700037637981056	2.2880040147179797	37	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.2880040147179797	2.306004265637853	33	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.306004265637853	2.324004516557727	48	1877
