dataset	offset_bp	p_in_nuc	denom
m6a_200 sperm	317	0.14491141569296567	183054
m6a_200 sperm	318	0.14429904045349567	183042
m6a_200 sperm	319	0.1436909627262139	183032
m6a_200 sperm	320	0.1430966919346701	183017
m6a_200 sperm	321	0.14250794761088367	183006
m6a_200 sperm	322	0.14193067691046923	182983
m6a_200 sperm	323	0.14130708455774793	182970
m6a_200 sperm	324	0.14069869057570641	182963
m6a_200 sperm	325	0.14007847566497178	182943
m6a_200 sperm	326	0.1394557869643136	182925
m6a_200 sperm	327	0.13887392951620636	182907
m6a_200 sperm	328	0.13831028489108693	182888
m6a_200 sperm	329	0.13769548405325316	182878
m6a_200 sperm	330	0.13708370711598925	182867
m6a_200 sperm	331	0.13643905484967808	182854
m6a_200 sperm	332	0.13576304996891014	182837
m6a_200 sperm	333	0.1350850685285231	182825
m6a_200 sperm	334	0.13445731633822755	182812
m6a_200 sperm	335	0.13386914514614076	182799
m6a_200 sperm	336	0.13331165702294773	182786
m6a_200 sperm	337	0.13274123519904896	182767
m6a_200 sperm	338	0.1321470770184001	182754
m6a_200 sperm	339	0.13150690662872333	182739
m6a_200 sperm	340	0.13085963707831186	182723
m6a_200 sperm	341	0.13024577599789397	182702
m6a_200 sperm	342	0.12967108204679098	182686
m6a_200 sperm	343	0.12918056625944632	182676
m6a_200 sperm	344	0.12873234363349612	182662
m6a_200 sperm	345	0.12827158794115157	182654
m6a_200 sperm	346	0.12779531867948377	182643
m6a_200 sperm	347	0.12733883255791925	182630
m6a_200 sperm	348	0.12682877329408965	182613
m6a_200 sperm	349	0.12633275073248784	182598
m6a_200 sperm	350	0.12582761956281774	182589
m6a_200 sperm	351	0.12534171203530198	182579
m6a_200 sperm	352	0.1248340972482853	182568
m6a_200 sperm	353	0.12433778425886265	182554
m6a_200 sperm	354	0.12383262867683859	182537
m6a_200 sperm	355	0.12335027876885986	182525
m6a_200 sperm	356	0.12287482900349474	182507
m6a_200 sperm	357	0.12241191474452506	182497
m6a_200 sperm	358	0.12194095965704575	182480
m6a_200 sperm	359	0.12147829245245569	182467
m6a_200 sperm	360	0.12098740983976909	182449
m6a_200 sperm	361	0.12051051346322078	182434
m6a_200 sperm	362	0.12002695929975402	182413
m6a_200 sperm	363	0.11958639367175007	182389
m6a_200 sperm	364	0.11914627054881079	182376
m6a_200 sperm	365	0.11874107469618078	182364
m6a_200 sperm	366	0.1183654741221376	182345
m6a_200 sperm	367	0.11800394255607674	182333
m6a_200 sperm	368	0.11764777889491707	182317
m6a_200 sperm	369	0.11728819507514103	182305
m6a_200 sperm	370	0.11692391206739997	182285
m6a_200 sperm	371	0.11652944009419465	182275
m6a_200 sperm	372	0.11613466071896343	182265
m6a_200 sperm	373	0.11572162747722176	182253
m6a_200 sperm	374	0.11531001806000868	182243
m6a_200 sperm	375	0.11488628325426892	182228
m6a_200 sperm	376	0.11449323021398912	182215
m6a_200 sperm	377	0.11411821462751004	182205
m6a_200 sperm	378	0.11373166262946371	182193
m6a_200 sperm	379	0.11336286527104597	182170
m6a_200 sperm	380	0.11305918074249213	182159
m6a_200 sperm	381	0.11275093669980121	182144
m6a_200 sperm	382	0.1124610430906425	182122
m6a_200 sperm	383	0.11219123724546676	182111
m6a_200 sperm	384	0.1119609257038493	182099
m6a_200 sperm	385	0.11172349196872683	182085
m6a_200 sperm	386	0.11150006086117699	182070
m6a_200 sperm	387	0.11129014854669546	182052
m6a_200 sperm	388	0.11108312643154308	182043
m6a_200 sperm	389	0.11085446164336543	182028
m6a_200 sperm	390	0.11062832901254029	182017
m6a_200 sperm	391	0.11037847438661573	181999
m6a_200 sperm	392	0.11008352226140944	181987
m6a_200 sperm	393	0.109840793040786	181974
m6a_200 sperm	394	0.10960987114611084	181959
m6a_200 sperm	395	0.109365464935799	181943
m6a_200 sperm	396	0.10915495576291592	181927
m6a_200 sperm	397	0.10901173555418149	181908
m6a_200 sperm	398	0.10885506262297422	181887
m6a_200 sperm	399	0.10874615264914939	181879
m6a_200 sperm	400	0.10864139836299005	181865
m6a_200 sperm	401	0.10851563231680103	181854
m6a_200 sperm	402	0.10835183486448326	181846
m6a_200 sperm	403	0.10817544284586102	181835
m6a_200 sperm	404	0.10795916685655997	181823
m6a_200 sperm	405	0.10776216013245239	181813
m6a_200 sperm	406	0.10761585430061008	181795
m6a_200 sperm	407	0.10748036932039809	181782
m6a_200 sperm	408	0.1073569675443961	181770
m6a_200 sperm	409	0.10722131621078211	181750
m6a_200 sperm	410	0.1070616643352754	181740
m6a_200 sperm	411	0.10684939979320834	181723
m6a_200 sperm	412	0.1066324595401533	181708
m6a_200 sperm	413	0.10639359570245421	181694
m6a_200 sperm	414	0.10618847305411014	181676
m6a_200 sperm	415	0.1059911368372068	181665
m6a_200 sperm	416	0.10584123115573382	181651
m6a_200 sperm	417	0.1056955831091952	181635
m6a_200 sperm	418	0.10557831131355558	181620
m6a_200 sperm	419	0.10544804041368921	181603
m6a_200 sperm	420	0.10532951009747166	181594
m6a_200 sperm	421	0.1052019229839822	181578
m6a_200 sperm	422	0.10508121383039791	181565
m6a_200 sperm	423	0.10496106971963631	181552
m6a_200 sperm	424	0.10484705599350863	181542
m6a_200 sperm	425	0.10474374647349984	181528
m6a_200 sperm	426	0.10461831568896902	181516
m6a_200 sperm	427	0.10450951236709313	181496
m6a_200 sperm	428	0.10441235817258321	181474
m6a_200 sperm	429	0.10429929900422599	181463
m6a_200 sperm	430	0.10417602499463259	181453
m6a_200 sperm	431	0.10409080769053418	181445
m6a_200 sperm	432	0.10399535876074759	181437
m6a_200 sperm	433	0.10387222549594191	181429
m6a_200 sperm	434	0.10375128228663193	181411
m6a_200 sperm	435	0.10360485064429008	181402
m6a_200 sperm	436	0.10347034989995332	181394
m6a_200 sperm	437	0.10334507103788493	181387
m6a_200 sperm	438	0.10324879158182393	181371
m6a_200 sperm	439	0.1031452319912512	181359
m6a_200 sperm	440	0.10308048063828623	181347
m6a_200 sperm	441	0.10299708853973842	181335
m6a_200 sperm	442	0.10290022158994391	181326
m6a_200 sperm	443	0.10277918908387954	181309
m6a_200 sperm	444	0.10270523772714454	181299
m6a_200 sperm	445	0.10264352655278909	181286
m6a_200 sperm	446	0.10260319684088254	181277
m6a_200 sperm	447	0.10257369334437383	181267
m6a_200 sperm	448	0.10252917951129369	181256
m6a_200 sperm	449	0.10245885491802058	181238
m6a_200 sperm	450	0.10238124850312964	181221
m6a_200 sperm	451	0.10228841476540347	181206
m6a_200 sperm	452	0.10218475006521852	181192
m6a_200 sperm	453	0.10204594977354059	181179
m6a_200 sperm	454	0.1019219155579256	181159
m6a_200 sperm	455	0.10180593235790597	181140
m6a_200 sperm	456	0.10168939706736628	181131
m6a_200 sperm	457	0.10160453036469627	181114
m6a_200 sperm	458	0.10158279008463861	181096
m6a_200 sperm	459	0.10156690690995934	181079
m6a_200 sperm	460	0.10155643133363332	181068
m6a_200 sperm	461	0.1015092705888464	181056
m6a_200 sperm	462	0.10144630229136002	181040
m6a_200 sperm	463	0.10135824490705514	181024
m6a_200 sperm	464	0.10125317129189006	181010
m6a_200 sperm	465	0.10116167388142716	180996
m6a_200 sperm	466	0.10106639175409385	180978
m6a_200 sperm	467	0.10098833695900702	180969
m6a_200 sperm	468	0.10093789658796554	180957
m6a_200 sperm	469	0.10088478964440117	180947
m6a_200 sperm	470	0.10083113606650405	180933
m6a_200 sperm	471	0.10078199790934231	180919
m6a_200 sperm	472	0.10071859622375881	180905
m6a_200 sperm	473	0.10061648248463545	180892
m6a_200 sperm	474	0.1005070566896476	180881
m6a_200 sperm	475	0.10038535069901988	180867
m6a_200 sperm	476	0.10032389993796065	180849
m6a_200 sperm	477	0.10026675903221387	180836
m6a_200 sperm	478	0.10029443931843673	180828
m6a_200 sperm	479	0.10032122484623535	180808
m6a_200 sperm	480	0.10032090564254376	180797
m6a_200 sperm	481	0.1002980250277452	180787
m6a_200 sperm	482	0.10027569259689216	180779
m6a_200 sperm	483	0.10023599724566355	180765
m6a_200 sperm	484	0.10020326355561594	180750
m6a_200 sperm	485	0.10017228997753572	180736
m6a_200 sperm	486	0.10016145894170433	180723
m6a_200 sperm	487	0.10015870669922038	180709
m6a_200 sperm	488	0.1001420128745883	180693
m6a_200 sperm	489	0.10011501315731161	180675
m6a_200 sperm	490	0.10008667237832078	180657
m6a_200 sperm	491	0.10003663392705854	180647
m6a_200 sperm	492	0.099972971314495	180635
m6a_200 sperm	493	0.0999086396165283	180615
m6a_200 sperm	494	0.09986888070737071	180600
m6a_200 sperm	495	0.09984317657774505	180588
m6a_200 sperm	496	0.0997963116302921	180576
m6a_200 sperm	497	0.0997600759350001	180567
m6a_200 sperm	498	0.0996821855522977	180548
m6a_200 sperm	499	0.09954046879843907	180537
m6a_200 sperm	500	0.09939707360786125	180531
m6a_200 sperm	501	0.09924756639470379	180515
m6a_200 sperm	502	0.09907986854401479	180501
m6a_200 sperm	503	0.09894316779088293	180487
m6a_200 sperm	504	0.09886373510621416	180470
m6a_200 sperm	505	0.09879359603812424	180454
m6a_200 sperm	506	0.09874628211134755	180441
m6a_200 sperm	507	0.09870628006937707	180423
m6a_200 sperm	508	0.09865385618291425	180413
m6a_200 sperm	509	0.09857746676341232	180400
m6a_200 sperm	510	0.09850528552432301	180386
m6a_200 sperm	511	0.09846325947168472	180369
m6a_200 sperm	512	0.0983779720166791	180353
m6a_200 sperm	513	0.09831163416001037	180341
m6a_200 sperm	514	0.09824538471388028	180328
m6a_200 sperm	515	0.09817923793125125	180313
m6a_200 sperm	516	0.09811353251569746	180295
m6a_200 sperm	517	0.09804855939838703	180278
m6a_200 sperm	518	0.09798003323555357	180262
m6a_200 sperm	519	0.09793557430142509	180242
m6a_200 sperm	520	0.09788501899332644	180229
m6a_200 sperm	521	0.0978006031883713	180214
m6a_200 sperm	522	0.09778024043591262	180202
m6a_200 sperm	523	0.09772578511270635	180181
m6a_200 sperm	524	0.09765810653554097	180174
m6a_200 sperm	525	0.09757319629359111	180158
m6a_200 sperm	526	0.09753182489132063	180142
m6a_200 sperm	527	0.09748333303715503	180125
m6a_200 sperm	528	0.09747547889751064	180112
m6a_200 sperm	529	0.09746729008476643	180099
m6a_200 sperm	530	0.0974732069651216	180087
m6a_200 sperm	531	0.09745770651080216	180074
m6a_200 sperm	532	0.09740088783781495	180060
m6a_200 sperm	533	0.09735005246257271	180050
m6a_200 sperm	534	0.09731085540691327	180039
m6a_200 sperm	535	0.09728021689442289	180023
m6a_200 sperm	536	0.09720767918119846	180005
m6a_200 sperm	537	0.09716064966457258	179994
m6a_200 sperm	538	0.09711673728538692	179981
m6a_200 sperm	539	0.09706327611188917	179960
m6a_200 sperm	540	0.09699313746253678	179946
m6a_200 sperm	541	0.09697634247213578	179934
m6a_200 sperm	542	0.09694153706691305	179923
m6a_200 sperm	543	0.09686882138933234	179910
m6a_200 sperm	544	0.09680678207406243	179891
m6a_200 sperm	545	0.09677798457653725	179878
