tf	group	metric	n_peaks	mean	median	mean_diff	signed_effect	mw_u_stat	mw_pvalue	log10_pvalue	rank	q	category	ctx
NFYB	architectural	lacuna_at	2522	0.0942351386681683	0.0869565217391304	0.0066061173272449	0.0066061173272449	3799543.0	7.375052350548044e-06	5.132234892573739	18	3.557378192617292e-05	architectural_universal	promoter
SOHLH2	diff_SPG	lacuna_at	2503	0.0945379077167512	0.0869565217391304	0.0069088863758277	0.0069088863758277	3769581.5	8.55097424110235e-06	5.067984401829623	19	3.895443820946626e-05	germline_late_active	promoter
ELF1	architectural	lacuna_at	3444	0.0937384606473782	0.0869565217391304	0.0061094393064548	0.0061094393064548	5148388.5	1.977356956742926e-05	4.703914923832396	20	8.367628607774609e-05	architectural_universal	promoter
CTCF	architectural	lacuna_at	3166	0.0936453534124451	0.0869565217391304	0.0060163320715217	0.0060163320715217	4737595.5	2.04088502628649e-05	4.690181460671383	21	8.367628607774609e-05	architectural_universal	promoter
NFYA	architectural	lacuna_at	2243	0.0939360464712135	0.0869565217391304	0.0063070251302901	0.0063070251302901	3364612.5	4.539799379397317e-05	4.342963338849028	22	0.00017726835671932382	architectural_universal	promoter
ERG	endothelial	lacuna_at	3300	0.0931896161211433	0.0869565217391304	0.0055605947802199	0.0055605947802199	4914008.5	7.452721677630426e-05	4.127685097222224	23	0.00027778326252986133	dev_gene_associated	promoter
CREB3L4	spermatid	lacuna_at	3412	0.0930460798487781	0.0869565217391304	0.0054170585078547	0.0054170585078547	5075981.0	8.715864183656775e-05	4.05968954583606	24	0.000310739505678198	germline_late_active	promoter
MYC	architectural	lacuna_at	2812	0.0931407538304671	0.0869565217391304	0.0055117324895437	0.0055117324895437	4191453.0	0.0001007564122844	3.996727305175408	25	0.0003442510753050333	architectural_universal	promoter
GABPA	architectural	lacuna_at	3563	0.0931195058775718	0.0869565217391304	0.0054904845366484	0.0054904845366484	5290839.5	0.0001279494827007	3.892961465624052	26	0.000419674303258296	architectural_universal	promoter
MAX	architectural	lacuna_at	1787	0.0938599926303879	0.0869565217391304	0.0062309712894644	0.0062309712894644	2678723.5	0.0001474734819567	3.8312860656196506	27	0.0004651086738634384	architectural_universal	promoter
E2F1	architectural	lacuna_at	1845	0.0941872577240167	0.0869565217391304	0.0065582363830933	0.0065582363830933	2754565.5	0.0003269360496429	3.4855371892458176	28	0.0009929168915080667	architectural_universal	promoter
USF1	architectural	lacuna_at	1334	0.09376017481405	0.0869565217391304	0.0061311534731265	0.0061311534731265	1991557.5	0.0010749237260705	2.968622351117593	29	0.003147990912063607	architectural_universal	promoter
